zone_id,settlement,SCMI,ridge_pred,rf_pred,xgb_pred,ridge_residual,rf_residual,xgb_residual
MTH_8,Mathare,0.1267038443434199,0.15289270877500843,0.13182605225071006,0.12137844413518906,-0.02618886443158852,-0.005122207907290149,0.005325400208230857
MTH_48,Mathare,0.2115163146401885,0.14834096974437883,0.1606844483971663,0.18916654586791992,0.06317534489580967,0.05083186624302219,0.022349768772268575
MTH_88,Mathare,0.205710479716733,0.1392782675225582,0.13712687309961627,0.13248418271541595,0.0664322121941748,0.06858360661711674,0.07322629700131705
MTH_89,Mathare,0.1043786888421348,0.12012969455249364,0.13649582428996204,0.12107501178979874,-0.01575100571035884,-0.03211713544782724,-0.016696322947663933
MTH_127,Mathare,0.102011949927437,0.16054095824655407,0.15406296931965893,0.1658892184495926,-0.05852900831911706,-0.052051019392221926,-0.06387726852215558
MTH_128,Mathare,0.2284821418675608,0.1401010693527599,0.13776572030052658,0.1532246321439743,0.0883810725148009,0.09071642156703422,0.0752575097235865
MTH_129,Mathare,0.1548175778685837,0.12080023796802378,0.1242429091060984,0.12960492074489594,0.03401733990055991,0.030574668762485283,0.025212657123687754
MTH_167,Mathare,0.1472123028513603,0.11632780171505802,0.10979986930404813,0.10967249423265457,0.030884501136302284,0.03741243354731218,0.03753980861870573
MTH_168,Mathare,0.1096394319906438,0.1009359736633645,0.09987264393004683,0.09610110521316528,0.008703458327279298,0.00976678806059697,0.013538326777478515
MTH_169,Mathare,0.1198194209587865,0.09874228113404324,0.11158238404778777,0.106528639793396,0.02107713982474327,0.008237036910998738,0.013290781165390508
MTH_170,Mathare,0.0650670180129395,0.0941669893510228,0.0894761144699061,0.08845020085573196,-0.0290999713380833,-0.024409096456966595,-0.023383182842792463
MTH_207,Mathare,0.170853276792029,0.13620057840767527,0.16448695730795485,0.1800605058670044,0.034652698384353725,0.006366319484074151,-0.009207229074975398
MTH_208,Mathare,0.1437914662046458,0.1043053320286387,0.1187525839440248,0.10487427562475204,0.039486134176007104,0.02503888226062101,0.03891719057989376
MTH_209,Mathare,0.1178820402035764,0.10794241801202556,0.11065352525851312,0.11516310274600983,0.00993962219155084,0.007228514945063283,0.0027189374575665726
MTH_210,Mathare,0.1097028088440795,0.10263273414629218,0.10381490045699383,0.09534639865159988,0.0070700746977873236,0.005887908387085666,0.014356410192479616
MTH_211,Mathare,0.137528471514319,0.09015807827452398,0.09571893183009363,0.09351558983325958,0.047370393239795014,0.041809539684225364,0.04401288168105941
MTH_212,Mathare,0.1382889309451827,0.08392877257297128,0.0988585902099168,0.08980470895767212,0.054360158372211406,0.039430340735265884,0.04848422198751057
MTH_247,Mathare,0.3250636514774452,0.13401631213634294,0.14983714266362624,0.15149492025375366,0.19104733934110227,0.17522650881381896,0.17356873122369154
MTH_248,Mathare,0.4415374123194111,0.13481375379533858,0.16415595716793657,0.20719288289546967,0.3067236585240726,0.27738145515147455,0.23434452942394146
MTH_249,Mathare,0.2666714297801056,0.1359891100312636,0.1266727181847934,0.14213848114013672,0.130682319748842,0.13999871159531221,0.12453294863996889
MTH_250,Mathare,0.1524252374490936,0.13738905441475163,0.14554307916591017,0.15108098089694977,0.015036183034341954,0.0068821582831834205,0.0013442565521438188
MTH_251,Mathare,0.1254067335885449,0.11722801542697293,0.1120039425635925,0.11256910115480423,0.008178718161571966,0.013402791024952398,0.01283763243374067
MTH_252,Mathare,0.1233048496322002,0.1056983790949712,0.10192996091481187,0.11782617121934891,0.017606470537228996,0.021374888717388338,0.0054786784128512955
MTH_253,Mathare,0.0751078745792585,0.06949544317453354,0.09558641127982005,0.08462151885032654,0.005612431404724949,-0.02047853670056156,-0.009513644271068045
MTH_254,Mathare,0.0483183629750449,0.06601979183631909,0.0821286329450321,0.06460516899824142,-0.01770142886127419,-0.0338102699699872,-0.016286806023196522
MTH_287,Mathare,0.0980410114735139,0.12365226974077018,0.12135303979960137,0.10423494130373001,-0.02561125826725627,-0.02331202832608746,-0.006193929830216105
MTH_288,Mathare,0.1092499332296828,0.10770272534289874,0.101714621172259,0.10470303148031235,0.0015472078867840577,0.00753531205742379,0.004546901749370447
MTH_289,Mathare,0.1236040166027657,0.1292874446615925,0.12237704081072799,0.11252414435148239,-0.005683428058826809,0.0012269757920377045,0.011079872251283304
MTH_290,Mathare,0.1661445552700584,0.1390506172200273,0.15820938286468744,0.18778789043426514,0.027093938050031102,0.00793517240537095,-0.021643335164206745
MTH_291,Mathare,0.1277737748792543,0.12346497680548019,0.1478009587745984,0.15634851157665253,0.0043087980737741005,-0.02002718389534411,-0.02857473669739824
MTH_292,Mathare,0.1880768254467886,0.12143983039479812,0.14349048558265445,0.13823337852954865,0.06663699505199049,0.044586339864134156,0.049843446917239964
MTH_293,Mathare,0.2019258775928525,0.100539230298753,0.13363897304691252,0.13608300685882568,0.10138664729409949,0.06828690454593997,0.06584287073402681
MTH_294,Mathare,0.049468571045683,0.0674094768856058,0.0855932498008597,0.07101960480213165,-0.017940905839922805,-0.03612467875517669,-0.02155103375644865
MTH_295,Mathare,0.0686061481207031,0.10609798050398182,0.09496984969277096,0.11523596197366714,-0.03749183238327872,-0.026363701572067855,-0.04662981385296404
MTH_327,Mathare,0.1715061733812092,0.13883522298818143,0.1326594874908253,0.11293642222881317,0.03267095039302775,0.0388466858903839,0.058569751152396016
MTH_328,Mathare,0.2455659835603383,0.13811949832586928,0.14087945597143425,0.16282229125499725,0.10744648523446901,0.10468652758890404,0.08274369230534104
MTH_329,Mathare,0.1407585131511073,0.14455678627146218,0.15795039773839686,0.17953504621982574,-0.0037982731203548836,-0.01719188458728957,-0.03877653306871845
MTH_330,Mathare,0.1315108053764976,0.16297196569347205,0.15612214921240142,0.15899568796157837,-0.03146116031697446,-0.024611343835903826,-0.027484882585080778
MTH_331,Mathare,0.1332342572211675,0.14228690654126147,0.15559802493545527,0.19436101615428925,-0.009052649320093975,-0.022363767714287774,-0.06112675893312175
MTH_332,Mathare,0.1385342938068021,0.11218366285037888,0.11440287996884967,0.1117972806096077,0.02635063095642322,0.024131413837952434,0.026737013197194404
MTH_333,Mathare,0.1578758048493706,0.13497475574519452,0.13408476628835322,0.1252789944410324,0.02290104910417609,0.023791038561017386,0.0325968104083382
MTH_334,Mathare,0.0987739911112139,0.09900591829635198,0.1076558037763023,0.10105285793542862,-0.0002319271851380783,-0.00888181266508839,-0.0022788668242147148
MTH_335,Mathare,0.0536825718923578,0.05819821551453488,0.08592619120371985,0.07009438425302505,-0.00451564362217708,-0.03224361931136205,-0.016411812360667258
MTH_364,Mathare,0.1368602085166921,0.038100029079611845,0.09590479386799505,0.10672510415315628,0.09876017943708024,0.040955414648697036,0.03013510436353581
MTH_365,Mathare,0.1203341096805306,0.06610063877483774,0.08394348978859088,0.07082691788673401,0.05423347090569286,0.036390619891939716,0.04950719179379659
MTH_366,Mathare,0.1154775394499745,0.08337724290314233,0.08717067734469455,0.08800821006298065,0.03210029654683218,0.028306862105279954,0.027469329386993854
MTH_367,Mathare,0.0861082446173018,0.09035009836727183,0.10304455593085561,0.11193334311246872,-0.004241853749970034,-0.016936311313553817,-0.025825098495166926
