zone_id,settlement,NDVI,NDBI,MNDWI,SAVI,UI,Contrast,Entropy,Homogeneity,Correlation,road_density,paved_proportion
MTH_8,Mathare,0.4599926282407069,-0.1043720883181177,-0.3982814039150141,0.2634671151468088,-0.1043720883181177,162073.38898914584,4.35127676086016,0.0035782216010473,0.6493003369751164,0.0,0.0
MTH_48,Mathare,0.4684480269426908,-0.0832470515992552,-0.4462339279687474,0.2571819481542703,-0.0832470515992552,106622.05516999376,4.353741458929681,0.0033798347868033,0.5755726184747539,0.0,0.0
MTH_88,Mathare,0.4347910337841126,-0.0556864336734567,-0.4543643219247411,0.2552518033099406,-0.0556864336734567,47664.92018916237,4.353186563112675,0.0040070528689812,0.5966337731656476,0.0,0.0
MTH_89,Mathare,0.2465626874712072,0.036327700062277,-0.3943770548463992,0.1518470056944026,0.036327700062277,47043.82003990226,4.352169696615487,0.0080884030963854,0.7192094172078152,0.0,0.0
MTH_127,Mathare,0.5567027324786484,-0.122966619309145,-0.4812048412649676,0.3307242323657198,-0.122966619309145,140260.98688730263,4.353741458929681,0.0009167868104710008,0.6364029828473571,0.0,0.0
MTH_128,Mathare,0.4781570874925421,-0.0712939651259119,-0.4690202477713175,0.2859013302502434,-0.0712939651259119,63597.323969801735,4.348876988132576,0.0038900023459005,0.6149470836303641,10205.3092,0.0
MTH_129,Mathare,0.3061942204681134,0.013282734769237,-0.406622969672007,0.1820978286442182,0.013282734769237,41808.09736242505,4.343908604313477,0.0115586531303766,0.6769182053195806,6625.5028,0.0
MTH_167,Mathare,0.2704599358619911,0.0063593081463054,-0.3517308814718823,0.1474425507659844,0.0063593081463054,157582.39597083896,4.351221585303099,0.0061463800096244,0.6799269179819153,37866.0209,0.0
MTH_168,Mathare,0.2219117468093349,0.0660973986645813,-0.3716385400907864,0.1197445946385877,0.0660973986645813,99521.8372375531,4.34740763909409,0.0114696854707091,0.6342222559284345,39642.6895,0.0
MTH_169,Mathare,0.2830810142353532,0.0268445360472791,-0.3810694323327282,0.1594750806936166,0.0268445360472791,55922.99641522287,4.345988107389427,0.0093863027328549,0.5398122217423127,54300.7485,0.0
MTH_170,Mathare,0.1939715106834313,0.0826086613236245,-0.3685183832175341,0.1065243646562643,0.0826086613236245,38835.12104405216,4.353741458929681,0.0064525318107485,0.349066409954953,34518.5443,0.0
MTH_207,Mathare,0.3909844519747242,-0.0423441808908681,-0.4047590621244948,0.231662203633576,-0.0423441808908681,94764.18905401368,4.352715626353716,0.0061973720588308,0.606904460179831,0.0,0.0
MTH_208,Mathare,0.1943989448452711,0.0857703262768126,-0.3535648876699193,0.1041219473220518,0.0857703262768126,111960.5344256756,4.351727969352227,0.0064391017196493,0.723980441634312,18015.9399,0.0
MTH_209,Mathare,0.2834720993327493,0.0464365534235982,-0.4099532991852683,0.142427085283909,0.0464365534235982,85226.14291401868,4.349778446384186,0.0037939486978069,0.6188684453044887,33728.7206,0.0
MTH_210,Mathare,0.327799562964834,0.022224034179279,-0.4083339001877073,0.1678487750621668,0.022224034179279,52981.19633216604,4.353741458929681,0.0031602723622768,0.2595233451798679,47140.5122,0.0
MTH_211,Mathare,0.2543699815479489,0.0690904297310997,-0.4013738049930584,0.1344616037307225,0.0690904297310997,54176.82911693373,4.353741458929681,0.0036052695633711,0.2333134400339714,59309.2438,0.0
MTH_212,Mathare,0.2453874931103641,0.0770201743925171,-0.4054412918272085,0.1258637379249879,0.0770201743925171,52831.91710042604,4.347958981097629,0.011325167877857,0.5786560930952304,74451.4234,0.0
MTH_247,Mathare,0.4852538968768439,-0.0267690267809499,-0.4932380552015447,0.268293020044631,-0.0267690267809499,54542.78738771311,4.353741458929681,0.0041035351080957,0.4731582834813798,0.0,0.0
MTH_248,Mathare,0.454453459021172,-0.0129424035656572,-0.488845442070587,0.2556609448963836,-0.0129424035656572,86196.78638804339,4.353741458929681,0.002815652280066,0.404782479185746,0.0,0.0
MTH_249,Mathare,0.474200595718136,-0.0562649576861999,-0.4569446965087992,0.2612647789587148,-0.0562649576861999,122511.35106458374,4.353741458929681,0.0013433966568816,0.4482543442248657,20705.0606,0.0
MTH_250,Mathare,0.4274900227829182,-0.0302596007636391,-0.4437241255265454,0.2336516695239653,-0.0302596007636391,112436.6599155973,4.353741458929681,0.002356279629788,0.4736124198717221,0.0,0.0
MTH_251,Mathare,0.2938272508718753,0.0224237470726908,-0.3727810894528654,0.1638268642802469,0.0224237470726908,83857.24753943991,4.353741458929681,0.0073569734090818,0.4046721000823449,8557.2912,0.0
MTH_252,Mathare,0.264088763379283,0.0458011565722038,-0.3659611252582326,0.1409836764608381,0.0458011565722038,65080.54138922781,4.352342890054606,0.0077019522904205,0.5854965217907707,21995.5689,0.0
MTH_253,Mathare,0.1084525575490392,0.0824125978882177,-0.259960899607927,0.0536264852682214,0.0824125978882177,51511.71198191475,4.35051351524917,0.0047448005381956,0.5959977957883236,80101.9648,0.0
MTH_254,Mathare,0.0736916184298197,0.1188399120515934,-0.2482342611374743,0.0325038668526057,0.1188399120515934,40206.617833253695,4.336689677676219,0.0061707243512946,0.6113705802007069,63584.9359,0.0
MTH_287,Mathare,0.3823487810821694,0.0026139573013731,-0.4161895507683013,0.2277274470482242,0.0026139573013731,102111.86512566138,4.353741458929681,0.0039064393586701,0.4823100342955208,9344.8633,0.0
MTH_288,Mathare,0.3203753791474029,0.0513368956799418,-0.4255013093580146,0.1870361135006034,0.0513368956799418,97943.73669674406,4.353741458929681,0.0028674575473785,0.3973882403860951,32117.1386,0.0
MTH_289,Mathare,0.4266576380121658,-0.0422904726908259,-0.4462416578526565,0.2526212914324748,-0.0422904726908259,117596.84741214884,4.353741458929681,0.0014254896696542,0.4560722638317536,32830.0368,0.0
MTH_290,Mathare,0.5116151526074316,-0.0594801641932189,-0.5003152194633999,0.289607110482395,-0.0594801641932189,137313.29281652658,4.353741458929681,0.0030206331976155,0.3572225208429725,27535.7742,0.0
MTH_291,Mathare,0.321270994829961,0.0758638841087663,-0.4789768808860465,0.1732919363666396,0.0758638841087663,127517.32424191192,4.353741458929681,0.0036793533236435,0.5221331721234542,0.0,0.0
MTH_292,Mathare,0.2753640677029504,0.0350694282159049,-0.3794129740234035,0.1696513149227539,0.0350694282159049,105362.35875663244,4.353741458929681,0.0022400752988623,0.5824412406483812,0.0,0.0
MTH_293,Mathare,0.112782503876583,0.0849090174838458,-0.2452886562703965,0.0561429455065259,0.0849090174838458,130632.69773296845,4.347635878232656,0.001233229369706,0.558696833485885,7613.7297,0.0
MTH_294,Mathare,0.0765140795327167,0.1164410490092737,-0.2579157064942195,0.0357973104373782,0.1164410490092737,48419.978862827775,4.345244611634024,0.0046068403270464,0.6385858018258942,66446.0087,0.0
MTH_295,Mathare,0.2166018833198772,0.0580541175793075,-0.3777459977337073,0.1219023398331595,0.0580541175793075,82011.64530669218,4.352711994105399,0.0030196310896653,0.6660152887721524,30334.1185,0.0
MTH_327,Mathare,0.4439634944116205,-0.0446975564083716,-0.4496039214408988,0.2734055281611353,-0.0446975564083716,109651.29479350764,4.348861436836027,0.0044802217364646,0.6218638433424317,5271.5337,0.0
MTH_328,Mathare,0.4570309565058082,-0.0415130992011614,-0.4663513310533877,0.285481458776469,-0.0415130992011614,95875.71018830394,4.352420894176314,0.0032086313743166,0.5321369135497294,5054.6755,0.0
