zone_id,settlement,road_density,paved_proportion,total_road_length_m,road_segment_count
MTH_495,Mathare,34537.8431,0.0,86.17,2
MTH_496,Mathare,53535.091,0.0,131.05,4
MTH_497,Mathare,72434.7277,0.0,25.9,1
MTH_520,Mathare,0.0,0.0,0.0,0
MTH_521,Mathare,30557.8786,0.0,76.24,2
MTH_522,Mathare,55669.9398,0.0,138.9,4
MTH_523,Mathare,33714.291,0.0,84.12,3
MTH_524,Mathare,43574.0058,0.0,108.72,2
MTH_525,Mathare,57518.8466,0.0,143.51,5
MTH_526,Mathare,139483.8226,0.0,348.01,6
MTH_527,Mathare,89791.0604,0.0,224.03,7
MTH_528,Mathare,0.0,0.0,0.0,0
MTH_529,Mathare,0.0,0.0,0.0,0
MTH_530,Mathare,0.0,0.0,0.0,0
MTH_531,Mathare,0.0,0.0,0.0,0
MTH_532,Mathare,0.0,0.0,0.0,0
MTH_533,Mathare,18725.0771,0.0,46.72,1
MTH_534,Mathare,33708.9305,0.0,84.1,2
MTH_535,Mathare,6576.6034,0.0,16.41,1
MTH_536,Mathare,23858.0121,0.0,59.53,3
MTH_537,Mathare,73998.5159,0.0,119.69,3
MTH_560,Mathare,53401.1196,0.0,17.56,2
MTH_561,Mathare,48026.3728,0.0,119.83,4
MTH_562,Mathare,43651.7089,0.0,108.91,3
MTH_563,Mathare,69422.3347,0.0,173.21,5
MTH_564,Mathare,66763.6903,0.0,166.58,6
MTH_565,Mathare,62048.4858,0.0,154.81,5
MTH_566,Mathare,41746.2357,0.0,104.16,4
MTH_567,Mathare,116580.5904,0.0,290.87,7
MTH_568,Mathare,97315.0737,0.0,242.8,6
MTH_569,Mathare,3248.9515,0.0,8.11,1
MTH_570,Mathare,0.0,0.0,0.0,0
MTH_571,Mathare,0.0,0.0,0.0,0
MTH_572,Mathare,0.0,0.0,0.0,0
MTH_573,Mathare,0.0,0.0,0.0,0
MTH_574,Mathare,19364.5549,0.0,48.31,1
MTH_575,Mathare,17627.4262,0.0,43.98,2
MTH_576,Mathare,4632.4072,0.0,11.56,1
MTH_577,Mathare,37201.3325,0.0,91.57,2
MTH_578,Mathare,58770.1666,0.0,19.52,1
MTH_601,Mathare,47443.6484,0.0,107.53,3
MTH_602,Mathare,52044.052,0.0,129.85,3
MTH_603,Mathare,40828.9244,0.0,101.87,2
MTH_604,Mathare,36961.7061,0.0,92.22,2
MTH_605,Mathare,44285.822,0.0,110.49,3
MTH_606,Mathare,12841.3058,0.0,32.04,2
MTH_607,Mathare,0.0,0.0,0.0,0
MTH_608,Mathare,77105.3702,0.0,192.38,6
MTH_609,Mathare,127632.925,0.0,318.44,5
MTH_610,Mathare,9931.5925,0.0,24.78,1
MTH_611,Mathare,0.0,0.0,0.0,0
MTH_612,Mathare,0.0,0.0,0.0,0
MTH_613,Mathare,19832.7755,0.0,49.48,1
MTH_614,Mathare,29115.2625,0.0,72.64,2
MTH_615,Mathare,13116.0377,0.0,32.72,1
MTH_616,Mathare,22658.5137,0.0,56.53,1
MTH_617,Mathare,8652.9032,0.0,21.59,1
MTH_618,Mathare,58622.8716,0.0,89.15,2
MTH_641,Mathare,0.0,0.0,0.0,0
MTH_642,Mathare,1385.0067,0.0,3.46,1
MTH_643,Mathare,2056.4847,0.0,5.13,2
MTH_644,Mathare,0.0,0.0,0.0,0
MTH_645,Mathare,0.0,0.0,0.0,0
MTH_646,Mathare,0.0,0.0,0.0,0
MTH_647,Mathare,0.0,0.0,0.0,0
MTH_648,Mathare,20060.8776,0.0,50.05,1
MTH_649,Mathare,22075.3543,0.0,55.08,5
MTH_650,Mathare,143025.6382,0.0,356.85,5
MTH_651,Mathare,28926.8717,0.0,72.17,5
MTH_652,Mathare,0.0,0.0,0.0,0
MTH_653,Mathare,22076.3405,0.0,55.08,1
MTH_654,Mathare,0.0,0.0,0.0,0
MTH_655,Mathare,22053.4355,0.0,55.02,1
MTH_656,Mathare,12646.5863,0.0,31.55,1
MTH_657,Mathare,15694.9996,0.0,39.16,1
MTH_658,Mathare,40069.125,0.0,98.38,2
MTH_659,Mathare,33161.0212,0.0,12.1,1
MTH_681,Mathare,6189.2737,0.0,7.64,1
MTH_682,Mathare,0.0,0.0,0.0,0
MTH_683,Mathare,0.0,0.0,0.0,0
MTH_684,Mathare,0.0,0.0,0.0,0
MTH_685,Mathare,0.0,0.0,0.0,0
MTH_686,Mathare,0.0,0.0,0.0,0
MTH_687,Mathare,0.0,0.0,0.0,0
MTH_688,Mathare,20105.3272,0.0,50.16,1
MTH_689,Mathare,0.0,0.0,0.0,0
MTH_690,Mathare,0.0,0.0,0.0,0
MTH_691,Mathare,124030.3591,0.0,309.46,5
MTH_692,Mathare,69997.5052,0.0,174.64,5
MTH_693,Mathare,1034.232,0.0,2.58,1
MTH_694,Mathare,30126.1112,0.0,75.16,2
MTH_695,Mathare,25556.4387,0.0,63.76,3
MTH_696,Mathare,37202.2229,0.0,92.82,3
MTH_697,Mathare,0.0,0.0,0.0,0
MTH_698,Mathare,10502.1156,0.0,26.2,1
MTH_699,Mathare,57045.3928,0.0,83.48,2
MTH_721,Mathare,77292.6353,0.0,57.33,2
MTH_722,Mathare,20567.8282,0.0,51.32,1
MTH_723,Mathare,20567.8282,0.0,51.32,1
MTH_724,Mathare,7472.9776,0.0,18.65,1
MTH_725,Mathare,0.0,0.0,0.0,0
MTH_726,Mathare,0.0,0.0,0.0,0
MTH_727,Mathare,1700.8866,0.0,4.24,1
MTH_728,Mathare,18782.4017,0.0,46.86,1
MTH_729,Mathare,0.0,0.0,0.0,0
MTH_730,Mathare,0.0,0.0,0.0,0
MTH_731,Mathare,23321.6048,0.0,58.19,1
MTH_732,Mathare,90326.8061,0.0,225.37,6
MTH_733,Mathare,114259.501,0.0,285.08,6
MTH_734,Mathare,36780.4847,0.0,91.77,4
MTH_735,Mathare,36782.161,0.0,91.77,2
MTH_736,Mathare,20998.9923,0.0,52.39,1
MTH_737,Mathare,0.0,0.0,0.0,0
MTH_738,Mathare,6591.5846,0.0,16.45,1
MTH_739,Mathare,47178.537,0.0,104.99,2
MTH_762,Mathare,0.0,0.0,0.0,0
MTH_763,Mathare,0.0,0.0,0.0,0
MTH_764,Mathare,0.0,0.0,0.0,0
MTH_765,Mathare,0.0,0.0,0.0,0
MTH_766,Mathare,0.0,0.0,0.0,0
MTH_767,Mathare,22674.0935,0.0,56.57,1
MTH_768,Mathare,0.0,0.0,0.0,0
MTH_769,Mathare,0.0,0.0,0.0,0
MTH_770,Mathare,0.0,0.0,0.0,0
MTH_771,Mathare,20857.077,0.0,52.04,1
MTH_772,Mathare,34876.9391,0.0,87.02,2
MTH_773,Mathare,66277.8078,0.0,165.36,6
MTH_774,Mathare,136590.0976,0.0,340.79,5
MTH_775,Mathare,15354.4654,0.0,38.31,2
MTH_776,Mathare,26521.6573,0.0,66.17,2
MTH_777,Mathare,8708.2515,0.0,21.73,2
MTH_778,Mathare,24239.2699,0.0,60.48,1
MTH_779,Mathare,21188.4948,0.0,51.1,1
MTH_802,Mathare,22650.9656,0.0,49.97,2
MTH_803,Mathare,6043.4018,0.0,15.08,1
MTH_804,Mathare,11834.2718,0.0,29.53,1
MTH_805,Mathare,0.0,0.0,0.0,0
MTH_806,Mathare,7573.278,0.0,18.9,1
MTH_807,Mathare,16291.2946,0.0,40.65,1
MTH_808,Mathare,0.0,0.0,0.0,0
MTH_809,Mathare,0.0,0.0,0.0,0
MTH_810,Mathare,10014.0673,0.0,24.99,1
MTH_811,Mathare,15221.9754,0.0,37.98,1
MTH_812,Mathare,8697.8559,0.0,21.7,1
MTH_813,Mathare,17204.5106,0.0,42.93,1
MTH_814,Mathare,16908.5849,0.0,42.19,6
MTH_815,Mathare,141841.573,0.0,353.9,5
MTH_816,Mathare,46079.706,0.0,114.97,6
MTH_817,Mathare,31238.0013,0.0,77.94,3
MTH_818,Mathare,0.0,0.0,0.0,0
MTH_819,Mathare,20122.0035,0.0,50.2,1
MTH_842,Mathare,71663.7295,0.0,121.6,4
MTH_843,Mathare,34460.1882,0.0,85.98,5
MTH_844,Mathare,5965.8323,0.0,14.88,1
MTH_845,Mathare,0.0,0.0,0.0,0
MTH_846,Mathare,22166.0274,0.0,55.3,2
MTH_847,Mathare,0.0,0.0,0.0,0
MTH_848,Mathare,0.0,0.0,0.0,0
MTH_849,Mathare,0.0,0.0,0.0,0
MTH_850,Mathare,21614.7482,0.0,53.93,1
MTH_851,Mathare,0.0,0.0,0.0,0
MTH_852,Mathare,0.0,0.0,0.0,0
MTH_853,Mathare,21784.9231,0.0,54.35,1
MTH_854,Mathare,20901.1277,0.0,52.15,1
MTH_855,Mathare,14111.3765,0.0,35.21,1
MTH_856,Mathare,147793.6343,0.0,368.75,7
MTH_857,Mathare,81322.8082,0.0,202.9,5
MTH_858,Mathare,0.0,0.0,0.0,0
MTH_859,Mathare,33117.0337,0.0,82.63,2
MTH_882,Mathare,62694.1566,0.0,72.53,3
MTH_883,Mathare,60124.2578,0.0,150.01,6
MTH_884,Mathare,23878.3531,0.0,59.58,3
MTH_885,Mathare,21440.2914,0.0,53.49,1
MTH_886,Mathare,41478.6869,0.0,103.49,3
MTH_887,Mathare,21065.6583,0.0,52.56,4
MTH_888,Mathare,338.2099,0.0,0.84,1
MTH_889,Mathare,0.0,0.0,0.0,0
MTH_890,Mathare,14382.5275,0.0,35.88,1
MTH_891,Mathare,0.0,0.0,0.0,0
MTH_892,Mathare,0.0,0.0,0.0,0
MTH_893,Mathare,26064.2338,0.0,65.03,2
MTH_894,Mathare,23648.0558,0.0,59.0,3
MTH_895,Mathare,28506.3576,0.0,71.12,2
MTH_896,Mathare,8673.9948,0.0,21.64,1
MTH_897,Mathare,72619.0808,0.0,181.18,6
MTH_898,Mathare,140391.4798,0.0,350.28,6
MTH_899,Mathare,28685.339,0.0,71.07,3
MTH_922,Mathare,31556.9627,0.0,18.47,2
MTH_923,Mathare,20310.0257,0.0,50.67,1
MTH_924,Mathare,23919.6212,0.0,59.68,2
MTH_925,Mathare,0.0,0.0,0.0,0
MTH_926,Mathare,20051.1261,0.0,50.03,1
MTH_927,Mathare,20158.4883,0.0,50.3,1
MTH_928,Mathare,20596.1765,0.0,51.39,1
MTH_929,Mathare,20760.8976,0.0,51.8,1
MTH_930,Mathare,30909.416,0.0,77.12,2
MTH_931,Mathare,21331.234,0.0,53.22,1
MTH_932,Mathare,15017.9617,0.0,37.47,1
MTH_933,Mathare,0.0,0.0,0.0,0
MTH_934,Mathare,0.0,0.0,0.0,0
MTH_935,Mathare,29023.9106,0.0,72.41,2
MTH_936,Mathare,3972.547,0.0,9.91,1
MTH_937,Mathare,19403.4581,0.0,48.41,1
MTH_938,Mathare,43216.4583,0.0,107.83,6
MTH_939,Mathare,176455.8312,0.0,421.02,7
MTH_963,Mathare,0.0,0.0,0.0,0
MTH_964,Mathare,20368.6393,0.0,50.82,1
MTH_965,Mathare,0.0,0.0,0.0,0
MTH_966,Mathare,20304.6171,0.0,50.66,1
MTH_967,Mathare,8524.0427,0.0,21.27,1
MTH_968,Mathare,25245.6921,0.0,62.99,2
MTH_969,Mathare,20134.0941,0.0,50.23,1
MTH_970,Mathare,34721.7602,0.0,86.63,2
MTH_971,Mathare,0.0,0.0,0.0,0
MTH_972,Mathare,14862.06,0.0,37.08,2
MTH_973,Mathare,30433.6782,0.0,75.93,2
MTH_974,Mathare,21091.0109,0.0,52.62,1
MTH_975,Mathare,14566.2519,0.0,36.34,2
MTH_976,Mathare,17271.6952,0.0,43.09,1
MTH_977,Mathare,28320.8444,0.0,70.66,2
MTH_978,Mathare,0.0,0.0,0.0,0
MTH_979,Mathare,43815.8811,0.0,103.31,3
MTH_1003,Mathare,0.0,0.0,0.0,0
MTH_1004,Mathare,20155.9242,0.0,50.29,1
MTH_1005,Mathare,0.0,0.0,0.0,0
MTH_1006,Mathare,33133.9889,0.0,82.67,2
MTH_1007,Mathare,31605.2819,0.0,78.86,2
MTH_1008,Mathare,12862.0254,0.0,32.09,1
