settlement,zones,mean_ridge_scmi,mean_rf_scmi,mean_xgb_scmi,mean_ensemble_scmi,std_ensemble_scmi,min_ensemble_scmi,max_ensemble_scmi,mean_NDBI,mean_NDVI,mean_road_density,mean_paved_prop,readiness_rank
Sisal_village,120,0.09503062473473123,0.09910323104639314,0.0992999,0.0978112507942373,0.02672760977458399,0.057087684951558436,0.1582345484315394,0.12688050257274094,0.17026918077981595,5707.791225,0.0,1
Milimani_village,51,0.08221695136636865,0.08196994909111599,0.08146949,0.08188546386054593,0.022891184014799067,0.059254407840178845,0.15167782653135176,0.17156172688699092,0.06956150325248776,9431.32551764706,0.0,2
area_48_village,46,0.07742742589006235,0.07530878264405524,0.07608997,0.07627539355945111,0.014259877345133114,0.060229515261061774,0.11857298532085835,0.18551459642399817,0.030814975210314198,4662.073939130435,0.0,3
wapewape_village,98,0.07511286041925712,0.07479392752039137,0.07373131,0.07454603294444498,0.009798506391368532,0.054433387653826125,0.11027103451670224,0.1739943904714623,0.019120744106361276,21822.04900612245,0.0,4
