settlement,NDVI,NDBI,MNDWI,Contrast,Entropy,Homogeneity,Correlation,road_density,paved_proportion
KCC,0.004351,0.008404,0.003634,0.007786,0.002312,0.001754,0.003169,0.006564,0.0
Kahawa_Soweto,0.006747,0.01411,0.003959,0.006112,0.002975,0.002559,0.003689,0.006832,0.0
Kambi_Moto,0.004641,0.008721,0.001176,0.005089,0.001958,0.00104,0.00124,0.003252,0.0
Kayole_Soweto,0.005168,0.009671,0.001303,0.006462,0.001936,0.001086,0.00183,0.004646,0.0
Mathare,0.006685,0.012751,0.002666,0.006043,0.002555,0.001982,0.003136,0.006561,0.0
