shap_NDVI,shap_NDBI,shap_MNDWI,shap_Contrast,shap_Entropy,shap_Homogeneity,shap_Correlation,shap_road_density,shap_paved_proportion,zone_id,settlement,SCMI,xgb_pred
0.013291544,0.029924925,-0.0037926377,0.015539994,-0.0051461337,-0.0022273816,-0.00945502,0.0113108065,0.0,MTH_8,Mathare,0.1267038443434199,0.12924575805664062
0.018277526,0.040753674,0.0011138056,0.0093763145,0.0076378942,0.006093982,0.009828346,0.017087232,0.0,MTH_48,Mathare,0.2115163146401885,0.18141071498394012
0.022791823,0.04186122,0.0055482066,-0.0048389463,-0.0020208023,0.006068464,0.010237343,0.011585974,0.0,MTH_88,Mathare,0.205710479716733,0.14803309738636017
0.012650792,0.01825418,-0.002255818,-0.0047358414,-0.0025144946,0.00039669138,-0.007688255,0.009071734,0.0,MTH_89,Mathare,0.1043786888421348,0.13752855360507965
0.012974873,0.023794355,0.0037072094,0.004690698,0.0008843857,-0.008635694,-0.016710242,0.006327077,0.0,MTH_127,Mathare,0.102011949927437,0.1491653472185135
0.01628173,0.045235254,0.014841259,0.0034770032,0.008298046,0.010149664,0.010897181,0.0016438825,0.0,MTH_128,Mathare,0.2284821418675608,0.15825362503528595
0.012952819,0.040956125,-0.0005898581,0.0007938798,0.00026763597,0.006202523,0.0044996305,-0.0012272442,0.0,MTH_129,Mathare,0.1548175778685837,0.11754664778709412
0.0087108575,0.029740993,0.0004834947,0.008856074,-0.00037123405,0.002617953,0.0048075747,-0.008877469,0.0,MTH_167,Mathare,0.1472123028513603,0.10623699426651001
0.011185816,0.010071454,0.00050493603,0.0057306234,0.00055506907,0.0018898963,0.0034496142,-0.0066648936,0.0,MTH_168,Mathare,0.1096394319906438,0.1025002971291542
0.009567604,0.025855169,-0.0009411438,0.005038412,0.00044102877,0.0008294534,0.007388281,-0.006582462,0.0,MTH_169,Mathare,0.1198194209587865,0.11289014667272568
-0.0018470633,0.0045726434,-0.002832602,-0.003872079,0.0006090731,-0.00075000315,-0.0018435107,-0.007884227,0.0,MTH_170,Mathare,0.0650670180129395,0.09097228199243546
0.017472284,0.030199705,-0.0015120296,0.008710726,-0.0016931964,0.008208006,0.003875913,0.018716302,0.0,MTH_207,Mathare,0.170853276792029,0.1886884868144989
-0.0002971679,0.013922286,0.0012877809,0.01242147,0.005258125,0.0033911022,0.00029359935,0.0072271028,0.0,MTH_208,Mathare,0.1437914662046458,0.1087350994348526
0.00676527,0.012657444,-0.0025624891,0.008377864,0.0041915113,0.0031350933,0.0021631666,-0.01182182,0.0,MTH_209,Mathare,0.1178820402035764,0.12484476715326309
0.011969119,0.016017485,-0.0023453396,0.006099334,0.0016804757,-0.0003289033,-0.0087043205,-0.004554761,0.0,MTH_210,Mathare,0.1097028088440795,0.09127230942249298
0.007308213,0.012292604,-0.0036790308,0.0070461174,0.0034156754,0.0071014194,-0.0013605665,-0.006851655,0.0,MTH_211,Mathare,0.137528471514319,0.08981502801179886
0.012179487,0.012816853,-0.00030943222,0.0011042076,0.0059675965,0.0018713241,0.0061300807,-0.009289341,0.0,MTH_212,Mathare,0.1382889309451827,0.09678702801465988
0.025618186,0.040746268,0.018170783,0.008894479,0.012482736,0.01238237,0.029598692,0.026644424,0.0,MTH_247,Mathare,0.3250636514774452,0.16294525563716888
0.034050453,0.06002222,0.01991856,0.03413821,0.023830097,0.015541641,0.025513338,0.03605179,0.0,MTH_248,Mathare,0.4415374123194111,0.19712534546852112
0.023315279,0.046359576,0.013018377,0.012418107,0.008810476,0.0065443083,0.008855536,0.0031273668,0.0,MTH_249,Mathare,0.2666714297801056,0.12128500640392303
0.014859633,0.026604708,0.0003921514,0.0022661467,0.005804033,-0.003355109,0.008866662,0.015991751,0.0,MTH_250,Mathare,0.1524252374490936,0.14815038442611694
0.00034067527,0.018945908,-0.003288764,0.008478963,0.0018265503,0.0004248123,0.008046033,-0.005659113,0.0,MTH_251,Mathare,0.1254067335885449,0.11953987926244736
0.008864147,0.009669895,-0.00022299154,9.540988e-05,-0.0009278507,0.0023260966,0.0048191003,-0.006202573,0.0,MTH_252,Mathare,0.1233048496322002,0.11808180809020996
-0.006319979,0.008915816,-0.0022108285,0.0026428862,0.00021518055,-0.0028054004,-0.004191582,-0.011743225,0.0,MTH_253,Mathare,0.0751078745792585,0.08524709194898605
-0.0057662693,-0.003135973,-0.0035819586,-0.0027482272,0.0020640553,-0.00078471465,-0.008444437,-0.015293932,0.0,MTH_254,Mathare,0.0483183629750449,0.06540624797344208
0.0052099656,0.02642441,-0.008636306,-0.0034796728,-0.0006800506,0.0029772895,-0.001887144,-0.008301497,0.0,MTH_287,Mathare,0.0980410114735139,0.10633066296577454
0.00431108,0.008535642,-0.0011039366,0.004091422,0.004078413,0.0060977684,-0.0021181821,-0.010867377,0.0,MTH_288,Mathare,0.1092499332296828,0.11239400506019592
0.010598197,0.020073492,0.0019532915,0.0038699182,0.0041639265,-0.0001242381,-0.00067837676,-0.007238161,0.0,MTH_289,Mathare,0.1236040166027657,0.11953157186508179
0.015303678,0.037571054,0.009066816,0.008973099,0.009872254,0.00358989,-0.0046213036,-0.00807703,0.0,MTH_290,Mathare,0.1661445552700584,0.16185115277767181
0.0057784524,0.013934363,0.0051625664,0.0022001134,0.0019479987,0.0058445306,0.007880918,0.020923667,0.0,MTH_291,Mathare,0.1277737748792543,0.14180615544319153
