Model,RMSE,MAE,R²
Ridge Regression,0.037717040472600334,0.024022972317451523,0.29826458837246206
Random Forest,0.03775432320393825,0.024168548489123344,0.29687659275191003
XGBoost,0.03966018305984479,0.025495097557583564,0.22409668715461828
