zone_id,settlement,SCMI,CVA_Direction
MTH_8,Mathare,0.12670384434341994,10.80091815617545
MTH_48,Mathare,0.21151631464018852,-34.85720943246261
MTH_88,Mathare,0.20571047971673306,-23.50110104857983
MTH_89,Mathare,0.10437868884213482,3.705695220459693
MTH_127,Mathare,0.10201194992743709,1.8833447527750444
MTH_128,Mathare,0.2284821418675608,-31.769056916194415
MTH_129,Mathare,0.1548175778685837,-31.165959417582968
MTH_167,Mathare,0.14721230285136033,61.020025531399206
MTH_168,Mathare,0.10963943199064384,14.779871266953313
MTH_169,Mathare,0.11981942095878659,-27.685116440181204
MTH_170,Mathare,0.0650670180129395,-27.09324910615305
MTH_207,Mathare,0.17085327679202902,15.386065630742735
MTH_208,Mathare,0.14379146620464583,23.531292693924744
MTH_209,Mathare,0.11788204020357641,4.651681832353206
MTH_210,Mathare,0.10970280884407951,-23.80132905299813
MTH_211,Mathare,0.13752847151431907,-26.591994250505294
MTH_212,Mathare,0.13828893094518271,-20.82845450991652
MTH_247,Mathare,0.32506365147744526,162.1859836975846
MTH_248,Mathare,0.4415374123194111,147.5070272790388
MTH_249,Mathare,0.26667142978010566,100.27115409239678
MTH_250,Mathare,0.15242523744909367,9.672365056703702
MTH_251,Mathare,0.12540673358854493,0.3913987944811647
MTH_252,Mathare,0.12330484963220022,7.15066926044164
MTH_253,Mathare,0.07510787457925855,23.990877414963446
MTH_254,Mathare,0.04831836297504492,-12.540513038008136
MTH_287,Mathare,0.09804101147351395,101.90095850146572
MTH_288,Mathare,0.10924993322968282,45.766529091323854
MTH_289,Mathare,0.1236040166027657,62.96128905033828
MTH_290,Mathare,0.1661445552700584,10.583987729657345
MTH_291,Mathare,0.12777377487925434,23.076732845917622
MTH_292,Mathare,0.1880768254467886,48.34833639867536
MTH_293,Mathare,0.2019258775928525,-14.550257018458455
MTH_294,Mathare,0.04946857104568301,42.98886409826455
MTH_295,Mathare,0.06860614812070318,51.03302097700728
MTH_327,Mathare,0.17150617338120921,80.71422702885157
MTH_328,Mathare,0.24556598356033832,-26.846725805379677
MTH_329,Mathare,0.14075851315110732,9.545741916504477
MTH_330,Mathare,0.13151080537649765,28.26116802705123
MTH_331,Mathare,0.13323425722116758,30.402606803046535
MTH_332,Mathare,0.13853429380680218,-4.5992004064206435
MTH_333,Mathare,0.15787580484937064,18.20900176946331
MTH_334,Mathare,0.09877399111121393,45.91671737867277
MTH_335,Mathare,0.05368257189235782,-3.6373856861982605
MTH_364,Mathare,0.13686020851669212,92.75696659574379
MTH_365,Mathare,0.12033410968053064,103.1919952530656
MTH_366,Mathare,0.11547753944997458,91.40687330207275
MTH_367,Mathare,0.08610824461730186,110.9479382413056
MTH_368,Mathare,0.09744165843070231,75.31517879547071
MTH_369,Mathare,0.1072617242480578,45.51217082891917
MTH_370,Mathare,0.10112975410766878,28.582248020758318
MTH_371,Mathare,0.11509945925038025,47.659229342085865
MTH_372,Mathare,0.14060991242267742,53.61760208477269
MTH_373,Mathare,0.1392232699146424,67.15975246000035
MTH_374,Mathare,0.11502382910405959,67.87698330339094
MTH_375,Mathare,0.061529321742008106,67.70456606108425
MTH_400,Mathare,0.10709723495982877,110.66234933967301
MTH_401,Mathare,0.07982660153102948,61.880966617580164
MTH_402,Mathare,0.09887657192247859,25.6620588012692
MTH_403,Mathare,0.09008821987379595,47.699373141505
MTH_404,Mathare,0.09664717438884336,67.07804240304304
MTH_405,Mathare,0.09482949121490013,-12.897888568375501
MTH_406,Mathare,0.07085068122566962,84.7602436292126
MTH_407,Mathare,0.08172153121451171,87.87748678223421
MTH_408,Mathare,0.10071402170276995,111.79853199569311
MTH_409,Mathare,0.10619385288850323,31.84052786248914
MTH_410,Mathare,0.12872313778937966,20.440769894378473
MTH_411,Mathare,0.13226914853685343,74.66574099480592
MTH_412,Mathare,0.10746998199083367,64.65218896563033
MTH_413,Mathare,0.09784312586426293,74.08539896982042
MTH_414,Mathare,0.051488372473614374,77.80410669454845
MTH_415,Mathare,0.057771755325540276,69.73536759311355
MTH_416,Mathare,0.04180957807630737,101.59167334632873
MTH_440,Mathare,0.08256744943557341,69.58837815969947
MTH_441,Mathare,0.0713077372262825,46.81246888057415
MTH_442,Mathare,0.08484728533037689,43.96950174620979
MTH_443,Mathare,0.10381821946054633,17.23265527963353
MTH_444,Mathare,0.08903747215831187,23.837790828270258
MTH_445,Mathare,0.11886130992523242,70.89031749696366
MTH_446,Mathare,0.09993571694828207,14.462595678217921
MTH_447,Mathare,0.10873570487312698,93.61392415724922
MTH_448,Mathare,0.0878924170260447,79.40870365195003
MTH_449,Mathare,0.11936934685996764,63.34120399299626
MTH_450,Mathare,0.16434034107766302,-3.9561654942378843
MTH_451,Mathare,0.20865738406441076,10.528015810187297
MTH_452,Mathare,0.11498908694225948,96.63745104955531
MTH_453,Mathare,0.09287842850192318,90.52952215540923
MTH_454,Mathare,0.0765830333871843,31.43926121229117
MTH_455,Mathare,0.07200855931363095,5.041076935299456
MTH_456,Mathare,0.053870177409838425,52.92875226383367
MTH_480,Mathare,0.1132144740305525,108.70992239819894
MTH_481,Mathare,0.09212086418971557,43.00238244602299
MTH_482,Mathare,0.06627307328529292,27.649044364998648
MTH_483,Mathare,0.08198915777956527,53.82509899557722
MTH_484,Mathare,0.11090617456100797,66.36953078368617
MTH_485,Mathare,0.09116465612615268,36.62960230622768
MTH_486,Mathare,0.08986859842685449,46.917681581293756
MTH_487,Mathare,0.09317508191442252,78.65088440601339
MTH_488,Mathare,0.10242252565667082,72.57191504964497
MTH_489,Mathare,0.11635579194300662,76.64649103549324
MTH_490,Mathare,0.12918191133891865,3.4900406038873335
MTH_491,Mathare,0.10050094062598992,-1.9543215631060962
MTH_492,Mathare,0.07290807265126022,48.39234411362161
MTH_493,Mathare,0.06607575325045063,9.281319911976553
MTH_494,Mathare,0.05213471522131859,26.51188379525365
MTH_495,Mathare,0.08861516234736155,-19.142930544409953
MTH_496,Mathare,0.04498633706979541,-0.48538841639557234
MTH_497,Mathare,0.05383033112655262,55.745756053957024
MTH_520,Mathare,0.10238183515156032,28.985808308893446
MTH_521,Mathare,0.0871617817166604,45.43597183563037
MTH_522,Mathare,0.06294377359145228,39.094885696634854
MTH_523,Mathare,0.07058003141109136,41.70234713345193
MTH_524,Mathare,0.06879936739786026,50.03507374899293
MTH_525,Mathare,0.059116583615944476,29.15427870687655
MTH_526,Mathare,0.08737444906398689,13.666123144284876
MTH_527,Mathare,0.1360977528341387,88.16714557013232
MTH_528,Mathare,0.14489987714981042,93.21803266080629
MTH_529,Mathare,0.16511206776262616,41.12483182420057
MTH_530,Mathare,0.17083675686974187,-16.005354361333243
MTH_531,Mathare,0.12299491644460316,14.320305973037861
MTH_532,Mathare,0.08598089524051811,64.10594562198452
MTH_533,Mathare,0.0702774717655255,19.911637143581867
MTH_534,Mathare,0.0741674645921322,62.39956232612467
MTH_535,Mathare,0.10858071733565285,16.34019393542521
MTH_536,Mathare,0.11249123553971323,-12.714065715961125
MTH_537,Mathare,0.05895942460646645,25.011153572274434
MTH_560,Mathare,0.10367964023963565,97.3495074460224
MTH_561,Mathare,0.0662265848110134,28.407261298932188
MTH_562,Mathare,0.06477837534205146,24.429280730133577
MTH_563,Mathare,0.09220451843228386,58.44426946117094
MTH_564,Mathare,0.06651309468165985,36.52682405215574
MTH_565,Mathare,0.06575399622181585,57.08513952686202
MTH_566,Mathare,0.07310959975020018,28.242727119829016
MTH_567,Mathare,0.09850037424479291,46.37013514624515
MTH_568,Mathare,0.1401950809492994,97.9876549453542
MTH_569,Mathare,0.1282349749371439,36.811067795958415
MTH_570,Mathare,0.15048723267270103,-35.32947061456601
MTH_571,Mathare,0.09281987737427186,13.578972979729206
