zone_id,settlement,NDVI,NDBI,MNDWI,SAVI,UI,Contrast,Entropy,Homogeneity,Correlation
MTH_8,Mathare,0.45999262824070697,-0.1043720883181177,-0.39828140391501415,0.2634671151468088,-0.1043720883181177,162073.38898914584,4.35127676086016,0.0035782216010473928,0.6493003369751164
MTH_48,Mathare,0.4684480269426908,-0.08324705159925525,-0.4462339279687474,0.2571819481542703,-0.08324705159925525,106622.05516999376,4.353741458929681,0.003379834786803383,0.5755726184747539
MTH_88,Mathare,0.43479103378411266,-0.055686433673456714,-0.45436432192474113,0.2552518033099406,-0.055686433673456714,47664.92018916237,4.353186563112675,0.004007052868981283,0.5966337731656476
MTH_89,Mathare,0.24656268747120721,0.03632770006227706,-0.3943770548463992,0.15184700569440268,0.03632770006227706,47043.82003990226,4.352169696615487,0.008088403096385411,0.7192094172078152
MTH_127,Mathare,0.5567027324786484,-0.12296661930914506,-0.4812048412649676,0.33072423236571985,-0.12296661930914506,140260.98688730263,4.353741458929681,9.167868104710007E-4,0.6364029828473571
MTH_128,Mathare,0.4781570874925421,-0.07129396512591195,-0.4690202477713175,0.2859013302502434,-0.07129396512591195,63597.323969801735,4.3488769881325755,0.003890002345900512,0.6149470836303641
MTH_129,Mathare,0.30619422046811345,0.013282734769237069,-0.40662296967200706,0.1820978286442182,0.013282734769237069,41808.09736242505,4.343908604313477,0.011558653130376656,0.6769182053195806
MTH_167,Mathare,0.27045993586199113,0.006359308146305491,-0.3517308814718823,0.14744255076598442,0.006359308146305491,157582.39597083896,4.351221585303099,0.006146380009624443,0.6799269179819153
MTH_168,Mathare,0.22191174680933495,0.06609739866458134,-0.37163854009078645,0.11974459463858775,0.06609739866458134,99521.8372375531,4.34740763909409,0.011469685470709104,0.6342222559284345
MTH_169,Mathare,0.28308101423535326,0.026844536047279165,-0.3810694323327282,0.1594750806936166,0.026844536047279165,55922.99641522287,4.345988107389427,0.009386302732854908,0.5398122217423127
MTH_170,Mathare,0.19397151068343135,0.0826086613236245,-0.3685183832175341,0.10652436465626434,0.0826086613236245,38835.12104405216,4.353741458929681,0.006452531810748531,0.349066409954953
MTH_207,Mathare,0.3909844519747242,-0.04234418089086812,-0.4047590621244948,0.231662203633576,-0.04234418089086812,94764.18905401367,4.352715626353716,0.0061973720588308166,0.606904460179831
MTH_208,Mathare,0.19439894484527118,0.08577032627681265,-0.35356488766991934,0.10412194732205186,0.08577032627681265,111960.53442567559,4.351727969352227,0.006439101719649355,0.723980441634312
MTH_209,Mathare,0.28347209933274936,0.04643655342359821,-0.40995329918526835,0.142427085283909,0.04643655342359821,85226.14291401868,4.349778446384186,0.003793948697806964,0.6188684453044887
MTH_210,Mathare,0.327799562964834,0.02222403417927909,-0.4083339001877073,0.16784877506216686,0.02222403417927909,52981.19633216604,4.353741458929681,0.0031602723622768357,0.2595233451798679
MTH_211,Mathare,0.25436998154794893,0.0690904297310997,-0.40137380499305847,0.13446160373072255,0.0690904297310997,54176.82911693373,4.353741458929681,0.003605269563371134,0.23331344003397148
MTH_212,Mathare,0.2453874931103641,0.07702017439251718,-0.4054412918272085,0.1258637379249879,0.07702017439251718,52831.917100426035,4.347958981097629,0.011325167877857024,0.5786560930952304
MTH_247,Mathare,0.4852538968768439,-0.026769026780949945,-0.4932380552015447,0.26829302004463107,-0.026769026780949945,54542.78738771311,4.353741458929681,0.004103535108095713,0.4731582834813798
MTH_248,Mathare,0.45445345902117207,-0.012942403565657226,-0.488845442070587,0.2556609448963836,-0.012942403565657226,86196.78638804339,4.353741458929681,0.002815652280066081,0.404782479185746
MTH_249,Mathare,0.47420059571813605,-0.056264957686199955,-0.45694469650879926,0.2612647789587148,-0.056264957686199955,122511.35106458374,4.353741458929681,0.00134339665688164,0.44825434422486576
MTH_250,Mathare,0.42749002278291826,-0.030259600763639153,-0.44372412552654544,0.23365166952396535,-0.030259600763639153,112436.6599155973,4.353741458929681,0.0023562796297880786,0.4736124198717221
MTH_251,Mathare,0.29382725087187533,0.022423747072690896,-0.3727810894528654,0.16382686428024693,0.022423747072690896,83857.24753943991,4.353741458929681,0.007356973409081891,0.4046721000823449
MTH_252,Mathare,0.26408876337928305,0.045801156572203884,-0.3659611252582326,0.1409836764608381,0.045801156572203884,65080.54138922781,4.352342890054606,0.007701952290420542,0.5854965217907707
MTH_253,Mathare,0.10845255754903928,0.0824125978882177,-0.25996089960792707,0.05362648526822147,0.0824125978882177,51511.71198191475,4.35051351524917,0.004744800538195685,0.5959977957883236
MTH_254,Mathare,0.07369161842981972,0.11883991205159343,-0.2482342611374743,0.032503866852605715,0.11883991205159343,40206.617833253695,4.336689677676219,0.006170724351294668,0.6113705802007069
MTH_287,Mathare,0.3823487810821694,0.002613957301373125,-0.41618955076830133,0.2277274470482242,0.002613957301373125,102111.86512566138,4.353741458929681,0.003906439358670154,0.4823100342955208
MTH_288,Mathare,0.32037537914740294,0.05133689567994189,-0.42550130935801467,0.18703611350060342,0.05133689567994189,97943.73669674406,4.353741458929681,0.0028674575473785786,0.3973882403860951
